User_name,PatientID,Appointments,Observations,Encounters,SpecialAction,Class
user0000002,00127b47-8a14-4eb3-94ac-5d22c0d944b3,0,0,1,0,anomalous
user0000009,00127b47-8a14-4eb3-94ac-5d22c0d944b3,0,0,1,0,anomalous
user0000014,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000022,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000024,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000025,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000027,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000028,00127b47-8a14-4eb3-94ac-5d22c0d944b3,0,0,1,0,anomalous
user0000029,00127b47-8a14-4eb3-94ac-5d22c0d944b3,0,0,1,0,anomalous
user0000031,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000040,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000046,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000055,00127b47-8a14-4eb3-94ac-5d22c0d944b3,0,0,1,0,anomalous
user0000057,00127b47-8a14-4eb3-94ac-5d22c0d944b3,0,0,1,0,anomalous
user0000059,00127b47-8a14-4eb3-94ac-5d22c0d944b3,0,0,1,0,anomalous
user0000061,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,1,0,normal
user0000062,00127b47-8a14-4eb3-94ac-5d22c0d944b3,1,0,0,0,anomalous
user0000063,00127b47-8a14-4eb3-94ac-5d22c0d944b3,0,0,1,0,anomalous
user0000005,002155dc-a80a-41da-96e2-be510195f1a4,1,0,0,0,anomalous
user0000006,002155dc-a80a-41da-96e2-be510195f1a4,0,0,1,0,anomalous
user0000015,002155dc-a80a-41da-96e2-be510195f1a4,2,0,0,0,normal
user0000021,002155dc-a80a-41da-96e2-be510195f1a4,0,0,1,0,anomalous
user0000026,002155dc-a80a-41da-96e2-be510195f1a4,0,0,1,0,anomalous
user0000032,002155dc-a80a-41da-96e2-be510195f1a4,0,0,1,0,anomalous
user0000034,002155dc-a80a-41da-96e2-be510195f1a4,1,0,0,0,anomalous
user0000041,002155dc-a80a-41da-96e2-be510195f1a4,1,0,0,0,anomalous
user0000051,002155dc-a80a-41da-96e2-be510195f1a4,1,0,0,0,anomalous
user0000054,002155dc-a80a-41da-96e2-be510195f1a4,1,0,0,0,anomalous
user0000060,002155dc-a80a-41da-96e2-be510195f1a4,0,0,1,0,anomalous
user0000062,002155dc-a80a-41da-96e2-be510195f1a4,1,0,0,0,anomalous
user0000063,002155dc-a80a-41da-96e2-be510195f1a4,0,0,1,0,anomalous
user0000065,002155dc-a80a-41da-96e2-be510195f1a4,0,0,1,0,anomalous
user0000067,002155dc-a80a-41da-96e2-be510195f1a4,1,0,1,0,normal
user0000068,002155dc-a80a-41da-96e2-be510195f1a4,0,0,1,0,anomalous
user0000069,002155dc-a80a-41da-96e2-be510195f1a4,1,0,0,0,anomalous
user0000012,0021e0fb-e72f-44d9-a29e-4703eaa6edab,0,0,1,0,anomalous
user0000018,0021e0fb-e72f-44d9-a29e-4703eaa6edab,1,0,0,0,anomalous
user0000019,0021e0fb-e72f-44d9-a29e-4703eaa6edab,0,0,1,0,anomalous
user0000023,0021e0fb-e72f-44d9-a29e-4703eaa6edab,1,0,0,0,anomalous
user0000026,0021e0fb-e72f-44d9-a29e-4703eaa6edab,0,0,1,0,anomalous
user0000035,0021e0fb-e72f-44d9-a29e-4703eaa6edab,1,0,0,0,anomalous
user0000036,0021e0fb-e72f-44d9-a29e-4703eaa6edab,0,0,1,0,anomalous
user0000040,0021e0fb-e72f-44d9-a29e-4703eaa6edab,1,0,1,0,normal
